pickup_date,total_trips,total_passengers,total_trip_distance,total_revenue
2023-01-01,72557,112888,374051.170,2245676.85
2023-01-02,63852,95848,290583.850,2010982.05
2023-01-03,82975,114233,331984.850,2449146.85
2023-01-04,92173,125311,327088.340,2603840.34
2023-01-05,98025,132750,340789.410,2689462.85
2023-01-06,99445,137429,320400.350,2665464.13
2023-01-07,101975,149433,331223.100,2626864.57
2023-01-08,82617,117932,327557.520,2373413.40
2023-01-09,82632,108431,306413.870,2332611.62
2023-01-10,97063,126456,307688.640,2591407.97
2023-01-11,103169,134610,321020.650,2724238.63
2023-01-12,107425,140860,382761.750,2984247.20
2023-01-13,107287,147675,367934.690,3031182.90
2023-01-14,109622,160073,352432.540,2879413.61
2023-01-15,93818,136446,335958.340,2563959.53
2023-01-16,77772,107586,309947.850,2265518.82
2023-01-17,97940,126857,336175.000,2767820.57
2023-01-18,103035,133349,349189.340,2812767.17
2023-01-19,110293,143297,343150.730,2982542.07
2023-01-20,106122,143323,345594.070,2877497.67
2023-01-21,108540,155766,329575.190,2719249.14
2023-01-22,86776,122401,320297.840,2409767.67
2023-01-23,86918,112632,304998.650,2390689.48
2023-01-24,100913,130129,309553.700,2684629.47
2023-01-25,105220,134669,305007.580,2736115.32
2023-01-26,111294,144513,363244.450,3043707.89
2023-01-27,108267,146783,349347.030,2922521.80
2023-01-28,108157,155692,326785.590,2717054.44
2023-01-29,85368,119849,317958.020,2377550.93
2023-01-30,81277,105087,283672.470,2279079.09
2023-01-31,97291,125097,309241.500,2618139.19
